order_id,order_date,product_id,unitssold,unitprice
1,2/10/2022,2483,50,77.42
2,2/27/2023,1358,84,31.9
3,4/28/2023,8391,69,41.57
4,10/9/2022,8690,72,71.6
5,8/21/2023,3090,4,50.43
6,2/17/2022,5269,41,95.81
7,11/16/2021,3161,54,92.87
8,8/14/2023,7863,13,64.24
9,1/17/2024,9748,7,39.14
10,1/5/2020,3854,54,13.27
11,6/28/2022,2067,9,39.84
12,2/29/2024,4258,60,88.02
13,8/6/2020,6642,88,92.66
14,7/15/2023,9361,4,36.79
15,2/14/2021,4996,29,50.45
16,8/10/2023,8099,81,38.08
17,8/9/2022,9886,76,61.4
18,9/29/2020,6204,27,37.73
19,4/6/2024,2137,95,59.01
20,6/11/2021,3803,76,99.1
21,1/17/2021,8197,72,15.79
22,7/10/2020,5200,10,72.68
23,9/22/2023,3554,47,47.18
24,3/18/2022,9072,92,51.95
25,3/14/2021,814,21,89.72
26,2/19/2021,5876,54,39.44
27,4/3/2020,4967,91,96.15
28,2/27/2023,8928,78,86.33
29,5/10/2021,5437,59,79.97
30,4/22/2023,9339,12,40.3
31,6/13/2020,4463,96,37.81
32,4/5/2021,642,9,45.09
33,12/4/2020,3246,87,80.44
34,12/25/2020,7673,15,89.84
35,1/27/2023,7906,80,56.38
36,10/6/2023,7463,57,12.28
37,4/15/2024,8504,36,23.7
38,4/6/2022,4253,71,82.82
39,12/11/2023,1885,20,61.15
40,9/13/2020,5552,65,98.9
41,10/10/2021,4299,62,85.76
42,3/8/2021,6921,40,44.52
43,5/12/2023,3960,54,91.47
44,11/2/2024,1714,10,71.64
45,12/4/2022,3240,99,22.14
46,12/23/2021,9186,92,36.07
47,3/29/2020,4506,79,76.09
48,6/23/2023,5090,80,31.24
49,8/3/2024,6234,78,10.38
50,10/17/2020,8510,57,43.03
51,4/17/2024,350,17,31.34
52,5/11/2022,4187,86,23.9
53,7/30/2022,8273,42,31.25
54,6/14/2020,8041,75,59.94
55,3/11/2022,994,25,35.07
56,3/5/2023,968,47,11.58
57,2/11/2020,5866,82,30.4
58,6/6/2024,5476,5,20.41
59,2/29/2024,5943,5,84.78
60,5/20/2024,3019,48,66.06
